Product Title,Old Price,New Price,Total Offers
"MSI GT Series - 17.3"" 4K / UHD 120 Hz - Intel Core i7 12th Gen 12800HX (2.00GHz) - NVIDIA GeForce RTX 3070 Ti - 32GB DDR5 - 2TB NVMe SSD - Windows 11 Pro - Gaming Laptop (TITAN GT77 12UGS-009)",N/A,"$ 2,999.00",7 Offers
"MSI GE Series Raider GE67HX 12UHS-069 15.6"" 240 Hz OLED Intel Core i9 12th Gen 12900HX (2.30GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 32GB Memory 1 TB PCIe SSD Windows 11 Pro 64-bit Gaming Laptop",N/A,"$ 3,699.99",8 Offers
"MSI - 15.6"" 144 Hz IPS - Intel Core i7 12th Gen 1260P (2.10GHz) - NVIDIA GeForce RTX 3060 Laptop GPU - 16GB DDR4 - 2TB NVMe SSD - Windows 11 Pro 64-bit - Gaming Laptop (Stealth 15M B12UE-040)",N/A,"$ 1,699.00",40 Offers
"MSI Crosshair 17 B12UGZ-295 17.3"" 144 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,973.62",5 Offers
"HP Victus 16-d1010nr 16.1"" 144 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3060 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,519.99",3 Offers
"Lenovo Legion 5 Pro 16IAH7H 82RF005MUS 16.0"" 165 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 32GB Memory 2 TB PCIe SSD Windows 11 Pro 64-bit Gaming Laptop",N/A,"$ 2,266.97",19 Offers
"Lenovo Legion 7 16IAX7 82TD0003US 16.0"" 165 Hz IPS Intel Core i7 12th Gen 12800HX (2.00GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop","$ $1,999.99","$ 1,989.99",15 Offers
"Lenovo Legion 5i Pro Gen 7 Intel Laptop, 16.0"" IPS Touch  165Hz  Low Blue Light, i7-12700H, NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6, 16GB, 2TB, Win 11 Home","$ $1,849.99","$ 1,799.99",
"Lenovo Legion 5i Gen 7 Intel Laptop, 15.6"" FHD IPS  Narrow Bezel, i7-12700H,  GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6, 16GB, 2TB, Win 11 Home",N/A,"$ 1,689.99",
"[2023] HIDevolution MSI Katana 15 B12VGK 15.6"" FHD 144Hz, 1.7 GHz i7-12650H, RTX 4070, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",N/A,"$ 1,629.00",58 Offers
"MSI GT Series TITAN GT77 12UHS-007 17.3"" 4K / UHD 120 Hz Intel Core i7 12th Gen 12800HX (2.00GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 32GB Memory 1 TB PCIe SSD Windows 11 Pro 64-bit Gaming Laptop",N/A,"$ 3,997.00",
"HP - Victus 15.6"" Gaming Laptop 144Hz (Intel Core i7-12650H, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 3050 Ti) Backlit Keyboard, WiFi 6, Type-C, Webcam, Win 11 Home(15-fa0032dx, 68Y11UA)",N/A,"$ 1,199.99",22 Offers
"MSI GF Series Katana GF66 12UGSK-831 15.6"" 144 Hz IPS Intel Core i9 12th Gen 12900H (2.50GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,699.99",7 Offers
"2022 ASUS TUF Dash F15 15.6"" 144Hz (Intel 10-Core i7-12650H, 64GB DDR5 RAM, 2TB PlCe SSD, Geforce RTX 3070 8GB), Thin Bezel IPS Gaming Laptop, Thunderbolt 4, RGB Backlit, WiFi 6, Windows 11 Home","$ $1,799.99","$ 1,749.99",10 Offers
"MSI Pulse GL76 -17 Gaming & Entertainment Laptop (Intel i7-12700H 14-Core, 17.3"" 144Hz Full HD (1920x1080), NVIDIA RTX 3060, 32GB RAM, 1TB PCIe SSD, Backlit KB, Wifi, HDMI, Webcam, Win 11 Pro)",N/A,"$ 1,849.00",140 Offers
"HP Victus Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H Upto 4.7GHz, 32GB RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 3050 Ti, HDMI, DisplayPort via USB-C, Wi-Fi, Bluetooth, Windows 11 Pro",N/A,"$ 1,199.99",
"HP Victus 15-fa0032dx  Gaming & Entertainment Laptop (Intel i7-12650H 10-Core, 15.6"" 144Hz Full HD (1920x1080), NVIDIA RTX 3050 Ti, 32GB RAM, 1TB PCIe SSD, Backlit KB, Wifi, USB 3.2, Win 11 Home)",N/A,"$ 1,146.99",72 Offers
"[2022] HIDevolution MSI Vector GP76 12UHSO 17.3"" QHD 240Hz 3ms, 1.8 GHz i9-12900H, RTX 3080 Ti, 64 GB 4800MHz RAM, 2 TB PCIe SSD, Windows 11 Pro",N/A,"$ 2,929.00",274 Offers
